imdb.id,languages,genres,rating,n.ratings,budget,openingUSA,grossUSA,grossWorld
tt5974402,Burmese,Drama,6.8,612,NA,NA,NA,NA
tt5974422,Spanish,Drama,6.9,162,NA,NA,NA,NA
tt5974454,NA,Drama | Romance,6.7,51,NA,NA,NA,NA
tt5974460,Hebrew,Comedy | Drama,6.5,684,NA,"$16,620, 5 March 2017","$1,200,885","$1,272,517"
tt5974624,Tibetan,Drama,6.7,206,NA,"$1,355, 21 May 2017","$3,669","$491,294"
tt5975242,Spanish,Documentary,7.2,158,NA,NA,NA,"$52,217"
tt5978462,NA,Drama,7.8,5,NA,NA,NA,NA
tt5978570,English,Comedy,8.6,1407,NA,NA,NA,NA
tt5978724,English,Drama | Romance,6.4,3304,NA,NA,NA,$51
tt5978754,NA,Comedy,5.8,47,"$50,000 (estimated)",NA,NA,NA
tt5978766,NA,Comedy,5,6,NA,NA,NA,NA
tt5978822,English,Comedy | Romance,6,515,NA,NA,NA,NA
tt5980798,Lingala | French,Drama | Music,6.5,974,NA,"$1,713, 29 October 2017","$12,433","$265,495"
tt5983248,NA,Animation | Short,6,20,NA,NA,NA,NA
tt5983406,Polish,Documentary,7.5,290,NA,NA,NA,NA
tt5991580,Dutch,Documentary | Short,7.6,22,"EUR8,000 (estimated)",NA,NA,NA
tt5992118,Korean,Documentary,7.8,22,NA,NA,NA,"$19,154"
tt5992144,Korean,Short | Comedy,NA,NA,NA,NA,NA,NA
tt5996202,Korean,Drama,7.3,3098,NA,NA,NA,"$599,913"
tt5996304,English,Short | Comedy,6.4,8,NA,NA,NA,NA
tt5996718,English,Documentary,7.4,35,NA,"$3,133, 26 August 2018","$3,133","$3,133"
tt5997756,None,Animation | Short,6.7,78,"CAD15,000 (estimated)",NA,NA,NA
tt5999530,Japanese,Drama | Sci-Fi,6,1820,NA,"$8,370, 4 February 2018","$52,087","$448,829"
tt6000478,English | Spanish | Armenian,Crime | Drama | Thriller,6.5,33163,"$22,000,000 (estimated)","$61,999, 19 November 2017","$11,962,778","$13,025,860"
tt6002232,French,Drama,7.5,8191,NA,"$4,947, 1 July 2018","$83,882","$3,790,303"
tt6003978,English,Short | Drama | Romance,NA,NA,NA,NA,NA,NA
tt6009338,English,Animation | Short,5.8,6,"EUR185,000 (estimated)",NA,NA,NA
tt6012754,Dutch,Drama | Family | Musical,6.1,85,NA,NA,NA,NA
tt6012792,French,Drama,5.6,318,NA,NA,NA,"$1,013,214"
tt6012822,Italian,Documentary,6.4,89,NA,NA,NA,NA
tt6012968,NA,Short,5.9,88,NA,NA,NA,NA
tt6013920,Dutch | Chinese | English,Documentary,7.5,245,NA,NA,NA,NA
tt6017358,NA,Documentary | Short | Adventure | Family,6.9,84,NA,NA,NA,NA
tt6020104,German | Russian,Comedy | Drama,6.2,443,NA,NA,NA,"$797,776"
tt6022096,French | English | Chinese,Short | Drama | Family,6.7,28,NA,NA,NA,NA
tt6024606,English,Documentary | Short,7.8,606,NA,"$55,409, 9 October 2016","$55,409","$337,038"
tt6024768,Thai,Drama,6.5,442,NA,NA,NA,NA
tt6025150,English,Short | Comedy,7.5,6,NA,NA,NA,NA
tt6025528,English,Short | Comedy | Drama,6.2,20,NA,NA,NA,NA
tt6027344,English,Documentary | Biography | Musical,5.9,363,NA,"$6,451, 29 October 2017","$17,930","$19,390"
tt6027438,English,Animation | Short | Comedy,6.9,129,"EUR45,000 (estimated)",NA,NA,NA
tt6027728,Turkish | Armenian | Arabic,Documentary,5.8,10,NA,NA,NA,NA
tt6032376,Portuguese,Drama,6.7,124,NA,NA,NA,"$3,034"
tt6034550,French,Drama | Horror | Mystery,7,430,NA,NA,NA,NA
tt6035760,English,Short | Drama,7.4,9,NA,NA,NA,NA
tt6038908,None,Animation | Short,6.3,45,NA,NA,NA,NA
tt6039442,Swahili | English,Drama,6.9,96,NA,NA,NA,NA
tt6039720,Swedish,Documentary | Animation | History,7.6,17,NA,NA,NA,NA
tt6040662,English,Drama,6.7,11207,NA,"$76,108, 16 September 2018","$547,750","$17,696,794"
tt6041030,Cantonese,Drama,7.3,1542,"$257,000 (estimated)",NA,NA,"$1,322,500"
tt6041174,Min Nan,Documentary | Family,7.6,323,"$300,000 (estimated)",NA,NA,NA
tt6041312,Spanish | Portuguese | Visayan,Drama,5.7,289,NA,NA,NA,$758
tt6041330,Arabic | French,Documentary | Drama,7.7,50,NA,NA,NA,NA
tt6042860,German | English | Spanish,Documentary,6.4,445,NA,NA,NA,"$5,965"
tt6044156,English,Horror | Mystery,4.8,384,NA,NA,NA,NA
tt6045752,Inuktitut,Drama,6.8,151,NA,NA,NA,NA
tt6045852,Dzongkha,Mystery,6.7,171,NA,NA,NA,NA
tt6046820,English,Short | Drama,7.3,27,NA,NA,NA,NA
tt6047298,Spanish | English | Portuguese,Drama | Mystery | Thriller,6,3305,"$6,000,000 (estimated)",NA,NA,"$5,699,056"
tt6052060,German,Documentary | Drama | Family,6.3,23,NA,NA,NA,NA
tt6052300,French,Short | Drama,NA,NA,NA,NA,NA,NA
tt6053438,English,Drama | Mystery | Thriller,7.1,47768,NA,"$97,562, 20 May 2018","$3,448,256","$3,862,498"
tt6053440,English,Drama | Romance,6.7,2990,NA,NA,NA,NA
tt6054994,None,Animation | Short,6.6,12,NA,NA,NA,NA
tt6059672,English,Short | Comedy | Drama,6.9,28,NA,NA,NA,NA
tt6061172,Arabic,Documentary | Short,6.9,39,NA,NA,NA,NA
tt6063216,English,Documentary | Short,7.8,38,NA,NA,NA,NA
tt6067172,French,Short,6.9,14,NA,NA,NA,NA
tt6067428,Slovak,Drama,6.4,100,NA,NA,NA,"$23,313"
tt6068038,NA,Animation | Short,5.5,28,NA,NA,NA,NA
tt6068044,NA,Animation | Short,5.8,29,NA,NA,NA,NA
tt6069126,English,Drama,5.9,1899,NA,NA,"$14,018","$390,881"
tt6069442,Spanish,Drama,5.6,314,NA,NA,NA,"$1,289"
tt6069744,NA,Animation | Short | Drama,6,16,NA,NA,NA,NA
tt6071534,English | Spanish,Documentary | Crime,6.7,3064,NA,NA,NA,NA
tt6073176,Arabic | English,Documentary | Short | War,7.5,7071,NA,NA,NA,NA
tt6075942,Chinese,Documentary,8.2,10,NA,NA,NA,NA
tt6076008,NA,Short | Drama,5.9,19,NA,NA,NA,NA
tt6078066,English,Short | Drama | Fantasy | Mystery,6.2,66,NA,NA,NA,NA
tt6080264,English,Short | Comedy,6,135,NA,NA,NA,NA
tt6081572,NA,Short,8.1,21,NA,NA,NA,NA
tt6082608,English | Hindi | Korean | Marathi,Documentary | Drama | Family | Music,7.5,48,NA,NA,NA,"$63,565"
tt6082614,German | English,Action | Crime | Drama,5.6,788,NA,NA,NA,NA
tt6085744,English,Short | Mystery,6.4,84,NA,NA,NA,NA
tt6085926,English,Documentary,8.2,193,NA,NA,NA,NA
tt6086394,English,Documentary | Short,NA,NA,NA,NA,NA,NA
tt6086614,English | Arabic,Documentary,6.9,352,"$950,000 (estimated)","$19,725, 4 June 2017","$359,735","$502,941"
tt6088920,None,Short | Fantasy | Romance,6.5,10,NA,NA,NA,NA
tt6088928,English,Short | Drama,8,16,NA,NA,NA,NA
tt6089078,French,Short | Drama,6.4,9,NA,NA,NA,NA
tt6089092,Polish,Documentary | Short | Sport,5.2,34,NA,NA,NA,NA
tt6089516,English,Short | Drama | Family | Romance,7.8,10,NA,NA,NA,NA
tt6089930,Arabic,Documentary | Animation | Short | History,6.9,66,NA,NA,NA,NA
tt6090264,Chinese,Documentary,7.7,482,NA,NA,NA,NA
tt6090924,English,Documentary | Short | Biography,7.7,9,NA,NA,NA,NA
tt6090944,English,Short | Comedy | Drama,NA,NA,NA,NA,NA,NA
tt6094970,English,Documentary,7.4,94,NA,"$3,270, 19 November 2017","$15,088","$15,088"
tt6095000,English,Documentary,6.3,11,NA,NA,NA,NA
tt6096572,French,Short | Drama,6.2,15,NA,NA,NA,NA
tt6097390,Kurdish,Documentary | Drama,8.3,19,NA,NA,NA,NA
tt6098208,Dari,Drama,6.9,44,NA,NA,NA,NA
tt6098544,English,Documentary,7.2,443,NA,NA,NA,NA
tt6099416,English,Crime | Drama | Mystery | Thriller,4.7,192,NA,NA,NA,NA
tt6100122,Polish | German,Drama,6,359,NA,NA,NA,NA
tt6103318,Portuguese,Drama,5.6,175,NA,NA,NA,NA
tt6105100,Dutch,Documentary | Short,NA,NA,"EUR40,000 (estimated)",NA,NA,NA
tt6107382,English,Short,NA,NA,"CAD2,500 (estimated)",NA,NA,NA
tt6107396,French | More,Documentary,6.3,90,NA,NA,NA,NA
tt6108178,English | Hebrew,Drama | Romance,6.6,25337,"$6,000,000 (estimated)","$237,393, 29 April 2018","$3,498,782","$8,003,180"
tt6110822,Hindi,Short | Drama | Family,7.8,20,NA,NA,NA,NA
tt6111996,English,Documentary | Sci-Fi,5.8,47,"CAD80,000 (estimated)",NA,NA,NA
tt6113688,Arabic,Documentary | War,7.9,176,NA,NA,NA,NA
tt6114826,English,Animation | Short | Adventure | Comedy | Family | Fantasy,7.7,212,NA,NA,NA,NA
tt6125590,English,Documentary | Short | Comedy | History | Reality-TV | Sci-Fi,8.2,28,NA,NA,NA,NA
tt6125690,Romanian | Russian,Drama | Romance,6.8,1800,"EUR2,000,000 (estimated)",NA,NA,"$186,200"
tt6125802,NA,Documentary | Music,8.5,24,NA,NA,NA,NA
tt6131010,English,Animation | Short | Comedy | Fantasy,NA,NA,NA,NA,NA,NA
tt6131208,Spanish | Russian | English,Drama,6.5,375,NA,NA,NA,"$6,297"
tt6131914,Indonesian,Short | Drama,NA,NA,NA,NA,NA,NA
tt6132528,English,Documentary | Biography,7.3,42,NA,NA,NA,NA
tt6133130,English,Biography | Drama | History,7.1,23273,NA,"$736,883, 15 October 2017","$1,584,759","$1,899,615"
tt6135348,French,Drama,7.4,13432,"EUR5,383,899 (estimated)","$8,566, 22 October 2017","$125,189","$7,704,369"
tt6136034,Afrikaans | English,Short,NA,NA,"$18,022 (estimated)",NA,NA,NA
tt6136920,French,Short | Drama,7.2,74,"CAD120,000 (estimated)",NA,NA,NA
tt6138228,English,Action | Horror | Thriller,5.4,4701,NA,NA,NA,NA
tt6138322,English,Documentary,7.3,461,NA,NA,NA,NA
tt6139850,English,Documentary | Short,NA,NA,NA,NA,NA,NA
tt6139984,English,Documentary | Biography | Music,8.3,181,"EUR35,000 (estimated)",NA,NA,NA
tt6141880,Arabic | English,Documentary,7.6,64,"NOK3,000,000 (estimated)",NA,NA,NA
tt6142716,Spanish,Documentary,6.6,39,NA,NA,NA,"$1,562,508"
tt6143986,English,Documentary | Short | Biography,7.7,39,NA,NA,NA,NA
tt6145072,Chinese,Drama,7,22,NA,NA,NA,NA
tt6146986,NA,Short | Drama,6.4,12,NA,NA,NA,NA
tt6147512,Spanish,Drama,6.4,580,NA,"$2,127, 6 May 2018","$30,110","$205,350"
tt6149818,English,Documentary | Family | Music,7,296,NA,"$6,591, 3 December 2017","$47,807","$50,022"
tt6150284,English,Documentary,7.7,9,NA,NA,NA,NA
tt6150942,English,Drama | Musical | Romance,6.3,907,NA,NA,NA,NA
tt6151222,English,Documentary,7.6,528,NA,NA,NA,NA
tt6152546,Spanish,Drama | Thriller | Western,6.6,220,NA,NA,NA,$622
tt6153322,Hebrew | Arabic,Documentary,8.5,90,NA,NA,NA,NA
tt6153324,English,Short | Drama,NA,NA,NA,NA,NA,NA
tt6154900,Indonesian,Short | Drama,8.2,12,"$20,000 (estimated)",NA,NA,NA
tt6155442,Turkish,Documentary | Crime,NA,NA,NA,NA,NA,NA
tt6155960,Italian,Drama,6,185,"EUR1,800,000 (estimated)",NA,NA,NA
tt6157626,Mandarin | Japanese,Adventure | Drama | Family | Fantasy | Horror | Mystery | Romance,6.2,2257,"$25,000,000 (estimated)",NA,NA,"$97,051,623"
tt6158604,English,Documentary,5.7,133,NA,NA,NA,"$6,615"
