festival.id;fest.name;fest.label;fest.name.mixed.alternative.1;fest.name.mixed.alternative.2;fest.name.mixed.alternative.3;fest.name.mixed.alternative.4;fest.name.mixed.alternative.5;fest.name.mixed.alternative.6;fest.location.country.en.1.standrardized;fest.location.country.en.2.standrardized;fest.location.country.en.3.standrardized;fest.location.country.en.4.standrardized;fest.location.country.en.5.standrardized;event.country.region;fest.location.city.en.1;fest.location.city.en.2;fest.location.city.en.3;fest.location.city.en.4;fest.location.city.en.5;month.start;extr.eval.bmbf.20.prc;extr.eval.fiapf;extr.eval.bafta;extr.eval.academy.awards;found.year;source.not.website;not.exist.bin;not.exist;not.ident;not.found;festival.lgbtq;festival.women;festival.black;festival.jewish;festival.asian;festival.latino;festival.other.identity;festival.film.noir;festival.genre;festival.classics;festival.underground;festival.arthouse;festival.independent;festival.trash;festival.science;festival.historical;festival.war;festival.crime;festival.comedy;festival.action;festival.food.wine;festival.animation;festival.archival;festival.documentary;festival.experimental;festival.silent;festival.children.youth;festival.up.and.coming;festival.debut;festival.short.film;festival.screenplay;festival.video;festival.disability;festival.human.rights;festival.indigenous;festival.education.genre;festival.mental.health;festival.student;festival.diaspora;festival.transnational;festival.national;festival.region;festival.online;festival.tv;festival.series;festival.random.fun.themes;festival.porn.erotic;festival.ethnographic.anthropological;festival.environmental.nature;festival.fantasy.horror.thriller.scifi;website;festival.random.fun.themes.cat;specialisation;source
fest.lib.id.na439;third eye asian film festival;third eye asian;third eye asian film festival;third eye asian film festival;NA;NA;NA;NA;India;NA;NA;NA;NA;Asia;mumbai;NA;NA;NA;0;12;0;no fiapf accreditation;0;0;2002;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;NA;NA;0;0
fest.lib.id.na440;international animation film festival tindirindis;international animation tindirindis;tindirindis international animation film festival;international animation film festival tindirindis;tindirindis animation film festival;NA;NA;NA;Lithuania;NA;NA;NA;NA;Europe;vilnius;NA;NA;NA;0;10;0;no fiapf accreditation;0;0;2003;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;1;0
fest.lib.id.na441;tirgu mures iff;tirgu mures iff;tirgu mures iff;tirgu mures iff;NA;NA;NA;NA;Romania;NA;NA;NA;NA;Europe;targo mures / tirgu mures;NA;NA;NA;0;9;0;no fiapf accreditation;0;0;NA;0;0;NA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;0;0
fest.lib.id.na442;tokyo food lovers film festival;tokyo food lovers;tokyo food lovers film festival;tokyo food lovers film festival;NA;NA;NA;NA;Japan;NA;NA;NA;NA;Asia;tokyo;NA;NA;NA;0;10;0;no fiapf accreditation;0;0;2010;0;1;2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;1;0
fest.lib.id.na443;tokyo international lesbian & gay film festival;tokyo international lesbian & gay;tokyo international lesbian & gay film festival;tokyo international lesbian & gay film festival;NA;NA;NA;NA;Japan;NA;NA;NA;NA;Asia;tokyo;NA;NA;NA;0;7;0;no fiapf accreditation;0;0;1992;Quelle: https://en.wikipedia.org/wiki/Rainbow_Reel_Tokyo;0;NA;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;1;0
fest.lib.id.na444;tokyo northern lights festival;tokyo northern lights;tokyo northern lights festival;tokyo northern lights festival;NA;NA;NA;NA;Japan;NA;NA;NA;NA;Asia;tokyo;NA;NA;NA;0;2;0;no fiapf accreditation;0;0;2011;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;NA;NA;0;0
fest.lib.id.na446;toronto japanese film festival;toronto japanese;toronto japanese film festival;toronto japanese film festival;NA;NA;NA;NA;Canada;NA;NA;NA;NA;North America;toronto;NA;NA;NA;0;6;0;no fiapf accreditation;0;0;NA;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;NA;NA;0;0
fest.lib.id.na447;toronto spinning wheel film festival;toronto spinning wheel;toronto spinning wheel film festival;toronto spinning wheel film festival;NA;NA;NA;NA;Canada;NA;NA;NA;NA;North America;toronto;NA;NA;NA;0;11;0;no fiapf accreditation;0;0;NA;Quelle: https://www.facebook.com/theswff/photos/116404918408633;1;2010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;0;0
fest.lib.id.na448;toulouse cinespana film festival;toulouse cinespana;toulouse cinespana film festival;toulouse cinespana film festival;cinespana ;NA;NA;NA;France;NA;NA;NA;NA;Europe;toulouse;NA;NA;NA;0;10;0;no fiapf accreditation;0;0;1996;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;NA;NA;0;0
fest.lib.id.na449;toyohashi slowtown cinema festival;toyohashi slowtown cinema;toyohashi slowtown cinema festival;toyohashi slowtown cinema festival;NA;NA;NA;NA;Japan;NA;NA;NA;NA;Asia;toyohashi;NA;NA;NA;0;11;0;no fiapf accreditation;0;0;2002;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;0;0
