festival_id,filmrank
fest.lib.id1975,0.0029774562253848586
imdbady01094,0.001463428814910313
imdbady00852,0.01328812241569054
imdbady01110,0.001986688378804619
imdbady00374,0.0018673430029444737
imdbady01146,0.0032327955617916294
fest.lib.id.survey.na488,0.0023110191122355287
imdbady01133,0.001520440502640857
imdbady01142,0.0014754817503632549
imdbady00429,0.0016835659184817834
fest.lib.id1740,0.0018684400478713508
fest.lib.id.na419,0.0044923188813395
fest.lib.id.survey.na95,0.002175585654203013
fest.lib.id.na20,0.003499756776415757
imdbady00646,0.0010649676204648906
fest.lib.id.survey.na574,0.00107483519048644
fest.lib.id6023,0.002655976113654293
fest.lib.id281,0.013771323601041436
fest.lib.id7629,0.06028313339580977
imdbady00946,0.0029925684204390956
fest.lib.id7533,0.021585276270757407
imdbady00686,0.001071595915848015
imdbady00608,0.0011999258114383457
imdbady01473,0.0012900021427121105
imdbady01706,0.0011935974747262527
imdbady00066,0.0012997864365508298
imdbady00988,0.0014754817503632549
fest.lib.id1382,0.012027560570798023
imdbady01061,0.0013454372511871493
fest.lib.id1148,0.021450340112936533
imdbady01551,0.0011674325024702175
imdbady00671,0.0012997864365508298
imdbady01319,0.002352640770903324
imdbady01210,0.001369100039274232
fest.lib.id.survey.na687,0.0031170443388949037
imdbady01365,0.0016760054385460623
fest.lib.id7257,0.011007720589648313
fest.lib.id843,0.002429775765134313
fest.lib.id.survey.na92,0.0020655063172724994
imdbady00482,0.001259682074427219
imdbady00831,0.0012001338495373844
imdbady01730,0.0014594541076943894
imdbady00920,0.0028043209365458117
imdbady00702,0.0017465542263116786
fest.lib.id744,0.03530890126958436
imdbady00591,0.0021974995080880928
imdbady00459,0.001143995697673182
fest.lib.id7497,0.004359028941186644
imdbady01359,0.0029060152654186164
fest.lib.id665,0.318359506181511
fest.lib.id7588,0.006574345935650647
fest.lib.id1281,0.0020874058978725945
fest.lib.id5839,0.003909822984146027
imdbady00863,0.01420686098115369
imdbady01225,0.001991030172782833
imdbady01650,0.00132859660521777
fest.lib.id8306,0.0012824144305406452
imdbady01072,0.001301033704898769
imdbady00587,0.0012997864365508298
fest.lib.id628,0.010249886084685248
fest.lib.id1020,0.002366848353212065
id408,0.0012932237101751843
imdbady00992,0.0017696122416609363
fest.lib.id1771,0.009718048527422345
fest.lib.id.survey.na4,0.0014122977968438158
imdbady00008,0.00660622427742308
fest.lib.id.survey.na497,0.0013965631202055297
fest.lib.id.survey.na515,0.0015193809527656755
fest.lib.id.survey.na123,0.0012282785344206275
imdbady00967,0.004666558866249143
fest.lib.id2792,0.0019111560510466843
fest.lib.id266,0.005728264389551081
imdbady01512,0.001084111298688413
fest.lib.id.na241,0.0014891246342239603
imdbady01201,0.007088805788385274
imdbady00541,0.0014314894180044002
fest.lib.id.na65,0.0033244218786099137
fest.lib.id1858,0.02539036026064619
fest.lib.id132,0.011655934599595175
imdbady00501,0.0024983208862591824
imdbady00439,0.0014739082701942523
imdbady01394,0.0028715159610712476
imdbady01700,0.0014252264848016172
fest.lib.id.na293,0.027424663096462933
fest.lib.id98,0.006101940469449665
imdbady00838,0.0012737903321567584
imdbady01078,0.0010434108823610848
imdbady00535,0.0010519285226798373
fest.lib.id1034,0.008191780101326204
imdbady00226,0.001463428814910313
fest.lib.id.na93,0.0030377448126376115
imdbady00298,0.0016946181469417417
id511,0.0011416249955147001
imdbady00908,0.0014754817503632549
imdbady00469,0.0013028345947457892
fest.lib.id1644,0.04790537185876654
