film_id,filmrank,premiere_festival,premiere_year,premiere_festival_filmrank,played_strategic,num_strategic,max_strategic_filmrank,avg_strategic_filmrank,played_top5_festival,played_top10_festival,num_top5_festivals,num_top10_festivals
idfnew629,0.015294748565246642,fest.lib.id1768,2012,0.07352724707497833,0,0,0,0,0,0,0,0
idfnew1639,0.03467759985001254,fest.lib.id.na240,2017,0.06203455950095228,0,0,0,0,1,1,1,1
f17031,0.03662889269921115,fest.lib.id1888,2012,0.9014664491525963,0,0,0,0,1,1,1,2
tffnew211,0.01944384859902953,fest.lib.id1050,2011,0.10887639162499597,0,0,0,0,1,1,1,1
f16794,0.06301104163229676,fest.lib.id1888,2012,0.9014664491525963,0,0,0,0,1,1,1,1
362,0.00995575178972834,fest.lib.id874,2013,0.5062687909078113,0,0,0,0,1,1,1,1
403,0.025631333879523453,fest.lib.id1736,2013,1.0,0,0,0,0,1,1,1,1
f7825,0.040385492573595,fest.lib.id1888,2016,0.9014664491525963,0,0,0,0,1,1,1,2
tffnew2521,0.029357125999264724,fest.lib.id1736,2017,1.0,0,0,0,0,1,1,1,1
frnew391,0.04317900204677896,imdbady00280,2012,0.0013802783553282982,0,0,0,0,0,1,0,1
tffnew1560,0.08254285490337814,fest.lib.id285,2015,0.39801347663094955,0,0,0,0,1,1,2,4
tffnew2413,0.13460913642164024,fest.lib.id1808,2017,0.1145501607898263,0,0,0,0,1,1,1,2
9213fnosuv,0.053016050724648614,fest.lib.id285,2014,0.39801347663094955,0,0,0,0,1,1,1,1
idfnew220,0.00910978148549232,fest.lib.id1050,2011,0.10887639162499597,0,0,0,0,0,0,0,0
f17533,0.033576148852687906,fest.lib.id1888,2015,0.9014664491525963,0,0,0,0,1,1,1,2
idfnew240,0.09322438765401346,fest.lib.id874,2011,0.5062687909078113,0,0,0,0,1,1,1,1
tffnew409,0.009336977626214061,fest.lib.id1736,2012,1.0,0,0,0,0,1,1,1,1
f17637,0.009940784625779017,fest.lib.id1888,2015,0.9014664491525963,0,0,0,0,1,1,1,1
1478,0.011219045524521635,fest.lib.id364,2013,0.6039825158473134,0,0,0,0,1,1,1,1
f7886,0.023929135812244165,fest.lib.id217,2015,0.13475573540038221,0,0,0,0,1,1,1,1
frnew670,0.014634546543682557,fest.lib.id8618,2015,0.004270938365921388,0,0,0,0,0,0,0,0
idfnew1595,0.009261345032982732,fest.lib.id1722,2017,0.10246538636036051,0,0,0,0,0,0,0,0
tffnew449,0.08553663880971424,fest.lib.id285,2012,0.39801347663094955,0,0,0,0,1,1,2,2
N1200946,0.01436344031323187,fest.lib.id364,2012,0.6039825158473134,0,0,0,0,1,1,1,1
f9025,0.045812079231417134,fest.lib.id285,2011,0.39801347663094955,0,0,0,0,1,1,2,2
f17200,0.01218453178467121,fest.lib.id1888,2014,0.9014664491525963,0,0,0,0,1,1,1,1
idfnew1159,0.044897672105310114,id401,2015,0.07211320128732311,0,0,0,0,1,1,1,1
128,0.013932303654189293,fest.lib.id364,2013,0.6039825158473134,0,0,0,0,1,1,1,1
frnew72,0.04272741104105534,fest.lib.id1658,2011,0.15002034797660702,0,0,0,0,0,1,0,1
1474,0.011219045524521635,fest.lib.id364,2013,0.6039825158473134,0,0,0,0,1,1,1,1
1604,0.028710251588299027,fest.lib.id1613,2008,0.06430215101394857,0,0,0,0,1,1,1,1
tffnew2626,0.02641090750553218,fest.lib.id1736,2017,1.0,0,0,0,0,1,1,1,1
idfnew892,0.032468863345066004,fest.lib.id874,2014,0.5062687909078113,0,0,0,0,1,1,1,1
135,0.03298506406134519,fest.lib.id388,2013,0.10657216405781064,0,0,0,0,1,1,1,2
f9033,0.046034786743841885,fest.lib.id285,2011,0.39801347663094955,0,0,0,0,1,1,2,3
9461fnosuv,0.019428068166009244,fest.lib.id1115,1963,0.08905067793670396,0,0,0,0,0,0,0,0
idfnew61,0.030016128084919703,fest.lib.id944,2009,0.0059843794442359126,0,0,0,0,0,0,0,0
frnew1004,0.02037837244680463,fest.lib.id1074,2017,0.045751935521372585,0,0,0,0,0,1,0,1
f16845,0.023367360369031028,fest.lib.id1736,2011,1.0,0,0,0,0,1,1,2,2
frnew296,0.02080137153207388,fest.lib.id.ch859,2012,0.020422489926764233,0,0,0,0,0,1,0,1
idfnew101,0.01567181691116691,fest.lib.id1177,2011,0.0358547708140046,0,0,0,0,1,1,1,1
649,0.026404967794953323,fest.lib.id1888,2013,0.9014664491525963,0,0,0,0,1,1,1,1
f16578,0.008576150903567963,fest.lib.id4680,2010,0.1366072752245275,0,0,0,0,0,0,0,0
idfnew1270,0.02344007283560632,fest.lib.id1648,2015,0.20248827622358084,0,0,0,0,1,1,1,2
f9142,0.04791089911049583,fest.lib.id285,2014,0.39801347663094955,0,0,0,0,1,1,2,2
idfnew1098,0.011086581829703788,fest.lib.id.na283,2014,0.007158945929946918,0,0,0,0,0,0,0,0
811,0.029909853141751205,fest.lib.id1736,2013,1.0,0,0,0,0,1,1,1,2
idfnew1263,0.00995575178972834,fest.lib.id874,2015,0.5062687909078113,0,0,0,0,1,1,1,1
N1600829,0.028382642998908227,fest.lib.id1688,2015,0.006440938723492507,0,0,0,0,1,1,1,1
I1103059,0.015286753725236723,fest.lib.id1732,2010,0.16442851051533133,0,0,0,0,0,0,0,0
9504fnosuv,0.009298203289242048,fest.lib.id285,2017,0.39801347663094955,0,0,0,0,1,1,1,1
frnew909,0.014252760426345329,fest.lib.id342,2016,0.030199973620409305,0,0,0,0,0,0,0,0
891,0.00995575178972834,fest.lib.id874,2013,0.5062687909078113,0,0,0,0,1,1,1,1
1317,0.03814609270997121,fest.lib.id.na320,2012,0.0013061789120368073,0,0,0,0,1,1,1,1
tffnew293,0.009336977626214061,fest.lib.id1736,2011,1.0,0,0,0,0,1,1,1,1
frnew488,0.06551048380470345,fest.lib.id1658,2014,0.15002034797660702,0,0,0,0,0,1,0,1
idfnew285,0.03003604445204167,fest.lib.id874,2011,0.5062687909078113,0,0,0,0,1,1,1,2
idfnew489,0.015154359282636202,fest.lib.id1722,2013,0.10246538636036051,0,0,0,0,0,0,0,0
tffnew1982,0.028562498924238632,fest.lib.id.na26,2016,0.015995170390635884,0,0,0,0,1,1,1,4
